Title;id;adult;backdrop_path;belongs_to_collection;budget;genres;homepage;original_language;original_title;overview;popularity;poster_path;production_companies;production_countries;release_date;revenue;runtime;spoken_languages;status;tagline;video;vote_average;vote_count
Escape Room;522681.0;False;/mWLljCmpqlcYQh7uh51BBMwCZwN.jpg;{'id': 769423, 'name': 'Escape Room Collection', 'poster_path': '/6xjebYUN0vxRvZRcItlSf0rRIJ0.jpg', 'backdrop_path': '/jMdEW5QcRZ7WShJo3ZsMgNGdJIJ.jpg'};9000000.0;[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}];https://www.escaperoom.movie/;en;Escape Room;Six strangers find themselves in circumstances beyond their control, and must use their wits to survive.;39.789;/8Ls1tZ6qjGzfGHjBB7ihOnf7f0b.jpg;[{'id': 5, 'logo_path': '/lieeAioEBVsgsoDT9HICrdt5iRa.png', 'name': 'Columbia Pictures', 'origin_country': 'US'}, {'id': 34, 'logo_path': '/GagSvqWlyPdkFHMfQ3pNq6ix9P.png', 'name': 'Sony Pictures', 'origin_country': 'US'}, {'id': 333, 'logo_path': '/5xUJfzPZ8jWJUDzYtIeuPO4qPIa.png', 'name': 'Original Film', 'origin_country': 'US'}];[{'iso_3166_1': 'US', 'name': 'United States of America'}];2019-01-03;155712077.0;100.0;[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}];Released;Find The Clues Or Die;False;6.544;3961.0
Rust Creek;561362.0;False;/xmLLkEhqIw0Me0wgO9ZhtP0MW7U.jpg;;750000.0;[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}];http://www.rustcreek.com;en;Rust Creek;When an overachieving college senior makes a wrong turn, her road trip becomes a life-changing fight for survival in rural Kentucky.;20.718;/lrsPIRkKZWTKbd3C0sSj7a3lMES.jpg;[{'id': 70784, 'logo_path': '/17G3JkSIjyFBbvSkmk0xPf6pysm.png', 'name': 'IFC Midnight', 'origin_country': 'US'}, {'id': 110406, 'logo_path': '/nBtz06yBISLCzIvvgeoUtfKeCzU.png', 'name': 'Lunacy Productions', 'origin_country': 'US'}];[{'iso_3166_1': 'US', 'name': 'United States of America'}];2019-01-04;0.0;108.0;[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}];Released;Choose your prey carefully;False;6.409;248.0
American Hangman;567738.0;False;/1iUuWGnywpwgcoHQ1LS6TzXtqLt.jpg;;0.0;[{'id': 53, 'name': 'Thriller'}];;en;American Hangman;An unidentified man posts a live feed on social media showing that he has kidnapped two strangers and intends to kill one before the day is out. His intention is to hold a capital 'trial' online. As the authorities recognize what's happening, it becomes apparent that the online public is going to act as judge and jury.;7.255;/xKoXpgqEk8RSezV05oRDCZP9fhT.jpg;[{'id': 806, 'logo_path': '/kcNh09qqR2Pkw1JAzRW4CommrW4.png', 'name': 'Téléfilm Canada', 'origin_country': 'CA'}, {'id': 11576, 'logo_path': None, 'name': 'Ontario Media Development Corporation (OMDC)', 'origin_country': 'CA'}, {'id': 36109, 'logo_path': '/wca0Jcidf2N1KAPicYMjGoKOmYu.png', 'name': 'The Fyzz', 'origin_country': 'GB'}, {'id': 46513, 'logo_path': '/w7qu6X4nwZm6LES7zDBEPepA0ji.png', 'name': 'Northern Ontario Heritage Fund Corporation', 'origin_country': 'CA'}, {'id': 113123, 'logo_path': None, 'name': 'Hangman Justice Productions', 'origin_country': 'CA'}, {'id': 113124, 'logo_path': None, 'name': 'Stirling Bridge Entertainment', 'origin_country': 'CA'}];[{'iso_3166_1': 'CA', 'name': 'Canada'}];2019-01-04;0.0;99.0;[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}];Released;A new kind of trial;False;6.1;120.0
A Dog's Way Home;508763.0;False;/w7MsyOpP003FYhsiTgVHa3rNsrz.jpg;;18000000.0;[{'id': 18, 'name': 'Drama'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}];http://www.adogswayhome.movie/;en;A Dog's Way Home;The adventure of Bella, a dog who embarks on an epic 400-mile journey home after she is separated from her beloved human.;35.079;/pZn87R7gtmMCGGO8KeaAfZDhXLg.jpg;[{'id': 5, 'logo_path': '/lieeAioEBVsgsoDT9HICrdt5iRa.png', 'name': 'Columbia Pictures', 'origin_country': 'US'}, {'id': 34, 'logo_path': '/GagSvqWlyPdkFHMfQ3pNq6ix9P.png', 'name': 'Sony Pictures', 'origin_country': 'US'}, {'id': 11733, 'logo_path': None, 'name': 'Pariah', 'origin_country': ''}, {'id': 30148, 'logo_path': '/zerhOenUD6CkH8SMgZUhrDkOs4w.png', 'name': 'Bona Film Group', 'origin_country': 'CN'}];[{'iso_3166_1': 'US', 'name': 'United States of America'}];2019-01-10;17643857.0;96.0;[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}];Released;A lot can happen between lost and found.;False;7.309;941.0
The Upside;440472.0;False;/4lQQVRLc7OCEFH6OUaMztwiFPbQ.jpg;;37500000.0;[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}];http://www.theupside.movie/;en;The Upside;Phillip is a wealthy quadriplegic who needs a caretaker to help him with his day-to-day routine in his New York penthouse. He decides to hire Dell, a struggling parolee who's trying to reconnect with his ex and his young son. Despite coming from two different worlds, an unlikely friendship starts to blossom.;25.958;/hPZ2caow1PCND6qnerfgn6RTXdm.jpg;[{'id': 308, 'logo_path': '/e8F3mQM7DkJ5SfYYDp8FYzPBOGX.png', 'name': 'The Weinstein Company', 'origin_country': 'US'}, {'id': 1423, 'logo_path': '/1rbAwGQzrNvXDICD6HWEn1YqfAV.png', 'name': 'Escape Artists', 'origin_country': 'US'}, {'id': 116979, 'logo_path': '/dLFOPmSJX6CIEIDkSptGnU002BF.png', 'name': 'Lantern Entertainment', 'origin_country': 'US'}];[{'iso_3166_1': 'US', 'name': 'United States of America'}];2019-01-10;111353135.0;126.0;[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}];Released;Based on a true story.;False;7.117;1026.0
Replicas;300681.0;False;/daNHz1e67CWyNeXd5AHWVpCJSNm.jpg;;30000000.0;[{'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}];https://replicasmovie.com;en;Replicas;A scientist becomes obsessed with returning his family to normalcy after a terrible accident.;104.735;/hhPBTAn9b4TYOxc1JYNsX4BFAlW.jpg;[{'id': 435, 'logo_path': '/AjzK0s2w1GtLfR4hqCjVSYi0Sr8.png', 'name': 'Di Bonaventura Pictures', 'origin_country': 'US'}, {'id': 4298, 'logo_path': None, 'name': 'Remstar Productions', 'origin_country': ''}, {'id': 7193, 'logo_path': None, 'name': 'Company Films', 'origin_country': 'US'}, {'id': 55244, 'logo_path': '/6tjtQvghRRXFmCsuN8SsKJW6cIm.png', 'name': 'Fundamental Films', 'origin_country': 'CN'}, {'id': 74208, 'logo_path': '/rZU9oUWZ66ns44vLmqVmeNrGATs.png', 'name': 'Lotus Entertainment', 'origin_country': 'US'}, {'id': 76314, 'logo_path': '/oFiHo3350Nj7bi6oxYMq3Kp6VGC.png', 'name': 'Riverstone Pictures', 'origin_country': 'GB'}, {'id': 81985, 'logo_path': None, 'name': 'Ocean Park Entertainment', 'origin_country': 'PR'}];[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'CN', 'name': 'China'}, {'iso_3166_1': 'PR', 'name': 'Puerto Rico'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}];2018-10-25;8100000.0;107.0;[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}];Released;Some humans are unstoppable;False;6.05;1129.0
After Darkness;414777.0;False;/AneA0sMIzPufIowXnmLTSkvxeJa.jpg;;0.0;[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}];;en;After Darkness;As the Sun burns out, an American family gathers at the end of the world, their hopes for rescue slowly crumbling as they also confront long lasting divides amongst each other.;4.945;/yyiHuU6dHKIazMKZhcYabAfUyfo.jpg;[{'id': 10772, 'logo_path': None, 'name': 'Camellia Entertainment', 'origin_country': ''}, {'id': 113681, 'logo_path': None, 'name': 'Dream Walker Films', 'origin_country': ''}];[{'iso_3166_1': 'MX', 'name': 'Mexico'}, {'iso_3166_1': 'US', 'name': 'United States of America'}];2019-01-15;0.0;98.0;[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}];Released;Hope begins at the end of the world;False;3.803;33.0
Glass;450465.0;False;/ngBFDOsx13sFXiMweDoL54XYknR.jpg;;20000000.0;[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}];https://www.glassmovie.com;en;Glass;In a series of escalating encounters, former security guard David Dunn uses his supernatural abilities to track Kevin Wendell Crumb, a disturbed man who has twenty-four personalities. Meanwhile, the shadowy presence of Elijah Price emerges as an orchestrator who holds secrets critical to both men.;82.349;/svIDTNUoajS8dLEo7EosxvyAsgJ.jpg;[{'id': 33, 'logo_path': '/8lvHyhjr8oUKOOy2dKXoALWKdp0.png', 'name': 'Universal Pictures', 'origin_country': 'US'}, {'id': 3172, 'logo_path': '/kDedjRZwO8uyFhuHamomOhN6fzG.png', 'name': 'Blumhouse Productions', 'origin_country': 'US'}, {'id': 5892, 'logo_path': '/AlfRSqTMw9RIHR2RIzy4pkcaXnY.png', 'name': 'Buena Vista International', 'origin_country': 'US'}, {'id': 10338, 'logo_path': '/el2ap6lvjcEDdbyJoB3oKiYgXu9.png', 'name': 'Perfect World Pictures', 'origin_country': 'CN'}, {'id': 12236, 'logo_path': '/uV6QBPdn3MjQzAFdgEel6od7geg.png', 'name': 'Blinding Edge Pictures', 'origin_country': 'US'}];[{'iso_3166_1': 'US', 'name': 'United States of America'}];2019-01-16;246941965.0;129.0;[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}];Released;You Cannot Contain What You Are;False;6.68;7237.0
Close;901563.0;False;/ihBrgKx7IuOptUYcblRJHAraRM0.jpg;;0.0;[{'id': 18, 'name': 'Drama'}];;fr;Close;Thirteen-year-olds Léo and Rémi have always been incredibly close but they are drift apart after the intimacy of their relationship is questioned by schoolmates. When tragedy strikes, one is forced to confront why he distanced himself from his closest friend.;50.362;/j7ReE0UZ9sgtfLvzszMgQw8Mxb2.jpg;[{'id': 207, 'logo_path': '/uskenzq65wJe0cT0D8StQI3hJnO.png', 'name': 'Agat Films & Cie / Ex Nihilo', 'origin_country': 'FR'}, {'id': 744, 'logo_path': '/iPQvLZPw7e3T3No0akup0F9o8nV.png', 'name': 'Diaphana Films', 'origin_country': 'FR'}, {'id': 850, 'logo_path': '/aF7qajGJGtMpdrtvssM9g90YanX.png', 'name': 'Eurimages', 'origin_country': 'FR'}, {'id': 3040, 'logo_path': '/25t2aPa5uNerf9Pq5cLUsYhs8ZA.png', 'name': 'Versus Production', 'origin_country': 'BE'}, {'id': 4232, 'logo_path': '/5uY5oqgSEUvzfmn8xC4eqGVU0s5.png', 'name': 'Menuet', 'origin_country': 'BE'}, {'id': 7117, 'logo_path': '/mVAjfnm0GI1V6ZHiGjq4HNH9xiA.png', 'name': 'Les Films Velvet', 'origin_country': 'FR'}, {'id': 7306, 'logo_path': '/qeZiPsQpCq7r1MrQgM7op2BQcPZ.png', 'name': 'The Match Factory', 'origin_country': 'DE'}, {'id': 24845, 'logo_path': '/eRT3fMGdAaQaFyOYXMEIt8GCe6I.png', 'name': 'Topkapi Films', 'origin_country': 'NL'}];[{'iso_3166_1': 'BE', 'name': 'Belgium'}, {'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'NL', 'name': 'Netherlands'}];2022-11-01;0.0;104.0;[{'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}, {'english_name': 'Dutch', 'iso_639_1': 'nl', 'name': 'Nederlands'}];Released;;False;7.8;49.0
The Standoff at Sparrow Creek;516630.0;False;/svlMtjtTjzrJscBddEvZ7sFACum.jpg;;450000.0;[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}];;en;The Standoff at Sparrow Creek;After a mass shooting at a police funeral, reclusive ex-cop Gannon finds himself unwittingly forced out of retirement when he realizes that the killer belongs to the same militia he joined after quitting the force. Understanding that the shooting could set off a chain reaction of copycat violence across the country, Gannon quarantines his fellow militiamen in the remote lumber mill they call their headquarters. There, he sets about a series of grueling interrogations, intent on ferreting out the killer and turning him over to the authorities to prevent further bloodshed.;5.845;/uCyDJGQ54vcCclNqa6nLcSqH3DQ.jpg;[{'id': 12142, 'logo_path': '/rPnEeMwxjI6rYMGqkWqIWwIJXxi.png', 'name': 'XYZ Films', 'origin_country': 'US'}, {'id': 12199, 'logo_path': '/gYYIgHpgRsyhyUkeFev1GnwBqHb.png', 'name': 'Madhouse Entertainment', 'origin_country': 'US'}, {'id': 49471, 'logo_path': None, 'name': 'Zero Trans Fat Productions', 'origin_country': 'US'}, {'id': 86609, 'logo_path': None, 'name': 'Torfoot Films', 'origin_country': 'US'}, {'id': 89122, 'logo_path': None, 'name': 'Look to the Sky Films', 'origin_country': 'CA'}, {'id': 108781, 'logo_path': '/kHAIsNbR9DEiupDXYnloc9FyZl7.png', 'name': 'Cinestate', 'origin_country': 'US'}];[{'iso_3166_1': 'US', 'name': 'United States of America'}];2019-01-18;0.0;88.0;[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}];Released;;False;6.207;82.0
